Subbasin_ID,Peak_Discharge_m3s,Total_Volume_m3,Mean_Discharge_m3s
M2_sub6,4488.22191068048,688295320.4761747,1593.2762048059599
M2_sub42,56.18741499359651,6323127.243327792,14.636868618814333
M2_sub43,37.68652791976473,5213905.241338037,12.0692250956899
M2_sub49,45.25077054345167,5672634.687321643,13.131098813244543
M2_sub50,59.96790936077452,6416438.210195174,14.852866227303645
M1_sub14,446.7170329096845,47126136.71394888,109.08827943043724
M1_sub34,55.839629113710565,5890767.08924361,13.636034928804655
M2_sub5,4589.887716010865,700303968.6399175,1621.0740014812905
M2_sub29,113.60820651229315,12715956.316766405,29.435084066588903
M2_sub30,81.97691752862221,10826957.521633197,25.062401670447215
M2_sub33,109.31968506377419,12501949.727837367,28.93969844406798
M1_sub13,502.55666202339506,53016903.80319249,122.72431435924187
M1_sub25,111.67925822742113,11781534.17848722,27.27206985760931
M2_sub4,4954.225430340529,742960786.1362462,1719.816634574644
M2_sub31,63.09757250574926,6606874.254686167,15.293690404366128
M1_sub12,670.0755493645268,70689205.07092331,163.6324191456558
M2_sub3,5078.851846017084,756204952.3994001,1750.474426850463
M2_sub55,17.505092696512033,1870195.8018972888,4.329156948836316
M1_sub11,725.9151784782373,76579972.16016692,177.26845407446046
M1_sub26,55.83907997254502,5891668.950299979,13.638122570138842
M2_sub2,5147.877507101522,764570578.6958106,1769.8393025365986
M1_sub10,781.7548075919478,82470739.24941055,190.90448900326516
M1_sub21,111.6787090862556,11782436.03954359,27.274157498943495
M2_sub1,5210.404768882545,771228760.0356128,1785.2517593416962
M1_T3_sub9,55.839629113710565,5890767.08924361,13.636034928804655
M1_T3_sub12,55.839629113710565,5890767.08924361,13.636034928804655
M1_T3_sub15,55.839629113710565,5890767.08924361,13.636034928804655
M1_sub8,5249.129834141734,776991217.3606896,1798.5907809275222
M1_sub9,835.9843250510851,88316205.73788776,204.4356614302957
M1_sub18,167.51833819996617,17673203.1287872,40.91019242774815
M1_sub23,52.68698738009591,5701303.276250662,13.197461287617273
M1_sub27,55.839629113710565,5890767.08924361,13.636034928804655
M1_sub31,56.14205084783021,5919513.862318271,13.702578384995999
M1_sub33,55.650347083413685,5880215.746903925,13.611610525240568
M1_T3_sub6,167.5188873411317,17672301.26773083,40.90810478641395
M1_T3_sub7,111.67925822742113,11781534.17848722,27.27206985760931
M1_T3_sub16,55.839629113710565,5890767.08924361,13.636034928804655
M1_sub7,5829.5706556279,888588801.9165591,2056.918522954998
M1_sub16,279.1975964273873,29454737.307274424,68.18226228535747
M1_sub38,56.077161432425136,5914066.720162986,13.689969259636541
M1_T3_sub5,390.8774037959739,41235369.62470528,95.45224450163258
M1_T3_sub14,52.20958907109099,5702835.432751748,13.201007946184601
M1_sub6,6052.241561002218,929688651.0801371,2152.057062685503
M1_sub30,55.96729211225802,5905040.87291241,13.669076094704652
M1_sub32,52.24965561674422,5704869.855121112,13.205717257224796
M1_T3_sub4,445.64751266441283,47071064.89110836,108.96079835904713
M1_T3_sub8,52.15654405038287,5756643.316999993,13.32556323379628
M1_T3_sub11,102.609007388831,11459478.749751741,26.52657117998088
M1_sub5,6159.679642013417,947069861.6679978,2192.2913464536987
M1_sub24,52.15654405038287,5756643.316999993,13.32556323379628
M1_T3_sub3,622.1817986123193,70043833.97041495,162.1385045611457
M1_T3_sub13,54.82437454274017,5863353.997679747,13.572578698332746
M1_sub4,6201.8866962436105,952826504.9849976,2205.6169096874946
M1_sub19,104.31308810076574,11513286.633999987,26.65112646759256
M1_T3_sub2,669.5755858234093,75809191.87947996,175.48424046175919
M1_T3_sub10,109.6653050400148,11713274.990572091,27.114062478176137
M1_T3_sub17,17.054991590619494,1882400.4762813668,4.357408509910571
M1_sub3,6328.50785893419,970096434.9359976,2245.5935993888834
M1_sub36,52.286582028557596,5765741.636241365,13.346624157966122
M1_T3_sub1,844.7391328970893,95107334.8934925,220.15586780901043
M1_sub2,7007.0250823633905,1076726154.7827315,2492.421654589656
M1_sub37,17.98045625057559,1984546.2385602002,4.593857033704167
M1_sub1,7068.300735781687,1084467344.338292,2510.341074857157
